value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label
17,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107010,企業数,2019000000,2019
699772,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107020,産業別_合計_自社開拓加盟店数_【店】,2019000000,2019
10541570,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107030,産業別_合計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
462970,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107040,産業別_小売業_計_自社開拓加盟店数_【店】,2019000000,2019
3029917,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107050,産業別_小売業_計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
10508,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107060,産業別_小売業_百貨店、総合スーパー_自社開拓加盟店数_【店】,2019000000,2019
593412,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107070,産業別_小売業_百貨店、総合スーパー_年間売上高（年間取扱高）_【百万円】,2019000000,2019
452463,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107080,産業別_小売業_その他の小売店_自社開拓加盟店数_【店】,2019000000,2019
2436505,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107090,産業別_小売業_その他の小売店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
72307,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107100,産業別_飲食店_自社開拓加盟店数_【店】,2019000000,2019
289037,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107110,産業別_飲食店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
9683,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107120,産業別_旅館・ホテル_自社開拓加盟店数_【店】,2019000000,2019
176472,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107130,産業別_旅館・ホテル_年間売上高（年間取扱高）_【百万円】,2019000000,2019
154812,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107140,産業別_その他_自社開拓加盟店数_【店】,2019000000,2019
7046145,47,クレジットカード業，割賦金融業,00030,全数,01001000,経営組織別_計,000107150,産業別_その他_年間売上高（年間取扱高）_【百万円】,2019000000,2019
17,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107010,企業数,2019000000,2019
699772,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107020,産業別_合計_自社開拓加盟店数_【店】,2019000000,2019
10541570,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107030,産業別_合計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
462970,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107040,産業別_小売業_計_自社開拓加盟店数_【店】,2019000000,2019
3029917,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107050,産業別_小売業_計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
10508,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107060,産業別_小売業_百貨店、総合スーパー_自社開拓加盟店数_【店】,2019000000,2019
593412,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107070,産業別_小売業_百貨店、総合スーパー_年間売上高（年間取扱高）_【百万円】,2019000000,2019
452463,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107080,産業別_小売業_その他の小売店_自社開拓加盟店数_【店】,2019000000,2019
2436505,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107090,産業別_小売業_その他の小売店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
72307,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107100,産業別_飲食店_自社開拓加盟店数_【店】,2019000000,2019
289037,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107110,産業別_飲食店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
9683,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107120,産業別_旅館・ホテル_自社開拓加盟店数_【店】,2019000000,2019
176472,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107130,産業別_旅館・ホテル_年間売上高（年間取扱高）_【百万円】,2019000000,2019
154812,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107140,産業別_その他_自社開拓加盟店数_【店】,2019000000,2019
7046145,47,クレジットカード業，割賦金融業,00030,全数,01001010,経営組織別_会社,000107150,産業別_その他_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107010,企業数,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107020,産業別_合計_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107030,産業別_合計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107040,産業別_小売業_計_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107050,産業別_小売業_計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107060,産業別_小売業_百貨店、総合スーパー_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107070,産業別_小売業_百貨店、総合スーパー_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107080,産業別_小売業_その他の小売店_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107090,産業別_小売業_その他の小売店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01001020,経営組織別_会社以外の法人・団体,000107100,産業別_飲食店_自社開拓加盟店数_【店】,2019000000,2019
