value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
117060396,00700,全域,000,男女総数,000,総数,00000,全国,1980000000,1980年,人
89187409,00700,全域,000,男女総数,000,総数,00001,全国市部,1980000000,1980年,人
27872987,00700,全域,000,男女総数,000,総数,00002,全国郡部,1980000000,1980年,人
5575989,00700,全域,000,男女総数,000,総数,01000,北海道,1980000000,1980年,人
1523907,00700,全域,000,男女総数,000,総数,02000,青森県,1980000000,1980年,人
1421927,00700,全域,000,男女総数,000,総数,03000,岩手県,1980000000,1980年,人
2082320,00700,全域,000,男女総数,000,総数,04000,宮城県,1980000000,1980年,人
1256745,00700,全域,000,男女総数,000,総数,05000,秋田県,1980000000,1980年,人
1251917,00700,全域,000,男女総数,000,総数,06000,山形県,1980000000,1980年,人
2035272,00700,全域,000,男女総数,000,総数,07000,福島県,1980000000,1980年,人
2558007,00700,全域,000,男女総数,000,総数,08000,茨城県,1980000000,1980年,人
1792201,00700,全域,000,男女総数,000,総数,09000,栃木県,1980000000,1980年,人
1848562,00700,全域,000,男女総数,000,総数,10000,群馬県,1980000000,1980年,人
5420480,00700,全域,000,男女総数,000,総数,11000,埼玉県,1980000000,1980年,人
4735424,00700,全域,000,男女総数,000,総数,12000,千葉県,1980000000,1980年,人
11618281,00700,全域,000,男女総数,000,総数,13000,東京都,1980000000,1980年,人
6924348,00700,全域,000,男女総数,000,総数,14000,神奈川県,1980000000,1980年,人
2451357,00700,全域,000,男女総数,000,総数,15000,新潟県,1980000000,1980年,人
1103459,00700,全域,000,男女総数,000,総数,16000,富山県,1980000000,1980年,人
1119304,00700,全域,000,男女総数,000,総数,17000,石川県,1980000000,1980年,人
794354,00700,全域,000,男女総数,000,総数,18000,福井県,1980000000,1980年,人
804256,00700,全域,000,男女総数,000,総数,19000,山梨県,1980000000,1980年,人
2083934,00700,全域,000,男女総数,000,総数,20000,長野県,1980000000,1980年,人
1960107,00700,全域,000,男女総数,000,総数,21000,岐阜県,1980000000,1980年,人
3446804,00700,全域,000,男女総数,000,総数,22000,静岡県,1980000000,1980年,人
6221638,00700,全域,000,男女総数,000,総数,23000,愛知県,1980000000,1980年,人
1686936,00700,全域,000,男女総数,000,総数,24000,三重県,1980000000,1980年,人
1079898,00700,全域,000,男女総数,000,総数,25000,滋賀県,1980000000,1980年,人
2527330,00700,全域,000,男女総数,000,総数,26000,京都府,1980000000,1980年,人
8473446,00700,全域,000,男女総数,000,総数,27000,大阪府,1980000000,1980年,人
5144892,00700,全域,000,男女総数,000,総数,28000,兵庫県,1980000000,1980年,人
1209365,00700,全域,000,男女総数,000,総数,29000,奈良県,1980000000,1980年,人
1087012,00700,全域,000,男女総数,000,総数,30000,和歌山県,1980000000,1980年,人
604221,00700,全域,000,男女総数,000,総数,31000,鳥取県,1980000000,1980年,人
784795,00700,全域,000,男女総数,000,総数,32000,島根県,1980000000,1980年,人
1871023,00700,全域,000,男女総数,000,総数,33000,岡山県,1980000000,1980年,人
2739161,00700,全域,000,男女総数,000,総数,34000,広島県,1980000000,1980年,人
1587079,00700,全域,000,男女総数,000,総数,35000,山口県,1980000000,1980年,人
825261,00700,全域,000,男女総数,000,総数,36000,徳島県,1980000000,1980年,人
999864,00700,全域,000,男女総数,000,総数,37000,香川県,1980000000,1980年,人
1506637,00700,全域,000,男女総数,000,総数,38000,愛媛県,1980000000,1980年,人
831275,00700,全域,000,男女総数,000,総数,39000,高知県,1980000000,1980年,人
4553461,00700,全域,000,男女総数,000,総数,40000,福岡県,1980000000,1980年,人
865574,00700,全域,000,男女総数,000,総数,41000,佐賀県,1980000000,1980年,人
1590564,00700,全域,000,男女総数,000,総数,42000,長崎県,1980000000,1980年,人
1790327,00700,全域,000,男女総数,000,総数,43000,熊本県,1980000000,1980年,人
1228913,00700,全域,000,男女総数,000,総数,44000,大分県,1980000000,1980年,人
1151587,00700,全域,000,男女総数,000,総数,45000,宮崎県,1980000000,1980年,人
1784623,00700,全域,000,男女総数,000,総数,46000,鹿児島県,1980000000,1980年,人
1106559,00700,全域,000,男女総数,000,総数,47000,沖縄県,1980000000,1980年,人
8515416,00700,全域,000,男女総数,001,０－４歳,00000,全国,1980000000,1980年,人
6543353,00700,全域,000,男女総数,001,０－４歳,00001,全国市部,1980000000,1980年,人
1972063,00700,全域,000,男女総数,001,０－４歳,00002,全国郡部,1980000000,1980年,人
